TRIAL_DATE,PURCHASED_PLAN,PURCHASE_DATE,UPGRADE_PRODUCT_x,MARKETING_PROD_LVL,SALES_PROD_LVL,SERVICE_PROD_LVL,PAID_HUB,COUNTRY,LANGUAGE,SOURCE,TRIAL_HUB,ALL_ITEMS,PURCHASE_HUB,TG_PAGEVIEW,TG_INTERACTION,UPGRADE_PRODUCT_y,SEO_PAGEVIEW,SOCIAL_PAGEVIEW,LANDING_PAGEVIEW,BLOG_PAGEVIEW,WEBSITE_PAGEVIEW,CTA_PAGEVIEW,ADS_PAGEVIEW,ABTEST_PAGEVIEW,WORKFLOWS_PAGEVIEW,ANALYTICS_TOOLS_PAGEVIEW,CAMPAIGNS_PAGEVIEW,REPORT_BUILDER_PAGEVIEW,DASHBORD_PAGEVIEW,DMT_PAGEVIEW,LEARN_PAGEVIEW,DISCOVERY_COUNT,SEGMENT
2019-08-04,,,marketing-pro,free,free,free,FALSE,India,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,Other
2019-08-20,,,marketing-pro,free,none,none,FALSE,Bulgaria,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,6,Other
2019-08-18,,,marketing-pro,free,none,none,FALSE,India,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Other
2019-08-15,,,marketing-pro,free,none,none,FALSE,Ukraine,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Other
2019-08-19,,,marketing-pro,free,free,free,FALSE,Peru,Spanish,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,Other
2019-08-05,,,marketing-pro,free,none,none,FALSE,France,French,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,Other
2019-08-12,,,marketing-pro,free,free,free,FALSE,Australia,English,paywall-ui-workflows-paywall-trial-button-marketing-workflows-paywall,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,Other
2019-08-21,,,marketing-pro,free,none,none,FALSE,Brazil,Portuguese,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,Other
2019-08-01,,,marketing-pro,starter,ent,none,TRUE,United Kingdom,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Other
2019-08-19,,,marketing-pro,free,free,free,FALSE,Nigeria,English,learning-center-content-trial-button-content,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other
2019-08-22,,,marketing-pro,free,free,free,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4,Other
2019-08-23,,,marketing-pro,free,starter,none,TRUE,United States,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,Other
2019-08-18,,,marketing-pro,free,none,none,FALSE,India,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
2019-08-20,,,marketing-pro,free,free,free,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Other
2019-08-14,,,marketing-pro,free,pro,pro,TRUE,Belgium,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,Other
2019-08-06,,,marketing-pro,free,free,free,FALSE,United Arab Emirates,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,8,Other
2019-08-18,,,marketing-pro,free,none,none,FALSE,Brazil,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,Other
2019-08-16,,,marketing-pro,free,free,free,FALSE,Argentina,Spanish,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,11,Other
2019-08-21,,,marketing-pro,starter,starter,starter,TRUE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,8,Other
2019-08-16,,,marketing-pro,free,free,free,FALSE,India,English,learning-center-content-trial-button-social,Marketing,,,0,0,marketing-pro,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3,Other
2019-08-18,,,marketing-pro,free,free,free,FALSE,Australia,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,10,Other
2019-08-01,,,marketing-pro,free,none,none,FALSE,Australia,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,Other
2019-08-21,,,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Other
2019-08-17,,,marketing-pro,free,none,none,FALSE,India,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
2019-08-11,1,2019-08-14 18:24:59,marketing-pro,free,free,none,FALSE,Canada,English,forms-zero-state-trial-button-secondary-cta,Marketing,"[
  ""Marketing Hub Professional"",
  ""Sales Hub Professional"",
  ""Additional Contacts"",
  ""Tech Service: First-Time Template Setup"",
  ""HubSpot for Startups Setup""
 ]",Marketing,0,0,marketing-pro,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,10,Other
2019-08-02,1,2019-08-27 2:22:30,marketing-pro,free,free,free,FALSE,Thailand,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,"[
  ""Marketing Hub Professional"",
  ""Additional Contacts"",
  ""Agency Onboarding"",
  ""Tech Service: First-Time Template Setup""
 ]",Marketing,1,1,marketing-pro,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,10,Other
2019-08-11,,,marketing-pro,free,none,none,FALSE,United States,English,forms-zero-state-trial-button-secondary-cta,Marketing,,,0,0,marketing-pro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Other
2019-08-20,,,marketing-pro,free,none,none,FALSE,United States,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,1,1,marketing-pro,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,5,Other
2019-08-06,,,marketing-pro,free,none,none,FALSE,Norway,English,pricing-pages-products-plans-trial-button-merch-card-marketing-pro,Marketing,,,0,0,marketing-pro,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,7,Other
